Post,Year,Region,Female,Male,Total Volunteers at Post,Agriculture,Business Development,Education,Environment,Health & HIV/AIDS,Youth,Other,African American,Asian American,Caucasian,Hispanic,Mixed Ethnicity,Native American,No Response,20s,30s,40s,50s,60s,70s,80s
Macedonia,2009,EMA,66,36,102,,,52,5,,,45,1,6,76,2,3,,14,65,17,5,5,7,3,
Macedonia,2010,EMA,66,37,103,,,55,5,,,43,4,3,81,3,3,,9,62,15,2,7,13,4,
Macedonia,2011,EMA,68,37,105,,,63,3,,,39,4,3,84,4,4,,6,70,13,3,6,12,1,
Macedonia,2012,EMA,64,37,101,,43,57,1,,,,5,1,80,8,4,,3,64,11,3,8,13,2,
Madagascar,2010,AF,82,31,113,,8,33,35,31,,6,1,7,77,8,5,1,14,102,9,1,1,,,
Madagascar,2011,AF,96,52,148,,27,35,45,41,,,3,11,99,11,6,1,17,134,11,1,1,1,,
Madagascar,2012,AF,76,54,130,,32,41,35,21,,1,5,12,86,8,4,,15,127,1,,1,1,,
Malawi,2009,AF,88,59,147,,5,58,36,39,,9,6,5,113,4,5,,14,124,12,3,1,7,,
Malawi,2010,AF,64,52,116,,12,44,25,33,,2,3,5,93,5,5,,5,95,13,3,1,4,,
Malawi,2011,AF,69,57,126,,14,41,25,37,,9,5,4,95,6,7,,9,93,23,4,3,3,,
Malawi,2012,AF,67,59,126,,10,35,25,39,,17,3,1,101,7,5,,9,97,21,2,2,2,2,
Mali,2009,AF,90,62,152,20,31,15,18,68,,,4,5,122,8,1,,12,139,8,1,3,1,,
Mali,2010,AF,102,69,171,11,34,33,26,66,,1,7,6,125,12,3,,18,159,6,1,,5,,
Mali,2011,AF,101,64,165,10,31,28,27,66,,3,10,9,117,10,5,,14,149,9,2,1,3,1,
Mexico,2009,IAP,26,28,54,,24,3,27,,,,,2,47,,,1,4,7,13,8,9,17,,
Mexico,2010,IAP,33,37,70,,38,1,30,,,1,,4,56,3,1,1,5,26,13,7,9,15,,
